activity_id	compd_id	domain_name	category_flag	status_flag	manual_flag	comment	timestamp	submitter
2097170	675	7tm_3	2	0	1	paper describes non-competitive antagonists	12 August 2013 17:50:49	fak
2097170	7084	ANF_receptor	2	1	1	paper describes non-competitive antagonists	12 August 2013 17:50:49	fak
2097172	675	7tm_3	2	0	1	paper describes non-competitive antagonists	12 August 2013 17:50:49	fak
2097172	7084	ANF_receptor	2	1	1	paper describes non-competitive antagonists	12 August 2013 17:50:49	fak
2097175	675	7tm_3	2	0	1	paper describes non-competitive antagonists	12 August 2013 17:50:50	fak
2097175	7084	ANF_receptor	2	1	1	paper describes non-competitive antagonists	12 August 2013 17:50:50	fak
2097177	675	7tm_3	2	0	1	paper describes non-competitive antagonists	12 August 2013 17:50:51	fak
2097177	7084	ANF_receptor	2	1	1	paper describes non-competitive antagonists	12 August 2013 17:50:51	fak
2097182	675	7tm_3	2	0	1	paper describes non-competitive antagonists	12 August 2013 17:50:51	fak
2097182	7084	ANF_receptor	2	1	1	paper describes non-competitive antagonists	12 August 2013 17:50:51	fak
2097183	675	7tm_3	2	0	1	paper describes non-competitive antagonists	12 August 2013 17:50:52	fak
2097183	7084	ANF_receptor	2	1	1	paper describes non-competitive antagonists	12 August 2013 17:50:52	fak
2097184	675	7tm_3	2	0	1	paper describes non-competitive antagonists	12 August 2013 17:50:53	fak
2097184	7084	ANF_receptor	2	1	1	paper describes non-competitive antagonists	12 August 2013 17:50:53	fak
6291502	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291502	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291503	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291503	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291504	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291504	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291505	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291505	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291506	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291506	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291507	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291507	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291508	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291508	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291509	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291509	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291510	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291510	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291512	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291512	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291513	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291513	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291514	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291514	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291515	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291515	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291516	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291516	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291517	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291517	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291518	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291518	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291519	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291519	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291520	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291520	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291521	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291521	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291522	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291522	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291524	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291524	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291525	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291525	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291526	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291526	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291527	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291527	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291528	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291528	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291529	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291529	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291530	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291530	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291531	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291531	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291532	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291532	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291533	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291533	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291534	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291534	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291536	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291536	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291537	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291537	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	06 Aug 2013 14:04:55	fak
6291538	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291538	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291539	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291539	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291540	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291540	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291541	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291541	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291542	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291542	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291543	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291543	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291544	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291544	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291545	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291545	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291546	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291546	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291547	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291547	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291548	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291548	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291549	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291549	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291550	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291550	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291551	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291551	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291552	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291552	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
2097168	675	7tm_3	2	0	1	paper describes non-competitive antagonists	12 August 2013 17:50:54	fak
2097168	7084	ANF_receptor	2	1	1	paper describes non-competitive antagonists	12 August 2013 17:50:54	fak
6291554	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291554	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291555	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291555	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291556	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291556	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291558	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291558	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291559	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291559	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291560	680	7tm_3	2	0	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
6291560	7097	ANF_receptor	2	1	1	string match allosteric on assay description	06 Aug 2013 14:04:55	fak
