activity_id	compd_id	domain_name	category_flag	status_flag	manual_flag	comment	timestamp	submitter	domain_id
2112076	867	SH2	2	1	1	compounds target kinase activity	2013-08-11 22:28:23	fak	2640
1401560	687	7tm_3	2	0	1	non-competitive antagonists	2013-08-12 12:49:27	fak	2629
1082957	3763	DHFR_1	2	0	1	assay measures DHFR inhibition	2013-08-13 00:29:45	fak	2773
2229789	886	SH2	2	1	1	compounds shown in phosphatase active site	2013-08-12 23:55:31	fak	2640
1185966	671	7tm_3	2	1	1	ligand is orthosteric	2013-08-12 18:17:02	fak	2629
1401451	687	7tm_3	2	0	1	non-competitive antagonists	2013-08-12 12:49:28	fak	2629
3316185	670	7tm_3	2	0	1	string match allosteric on assay description	2013-08-06 14:04:55	fak	2629
3342576	3784	DHFR_1	2	0	1	assay measures DHFR inhibition	2013-08-13 00:18:33	fak	2773
7574880	866	SH2	2	1	1	paper reports binding to SRC kinase domain	2013-08-11 22:49:51	fak	2640
7576692	889	SH2	2	1	1	paper reports binding to HCK kinase domain	2013-08-11 15:50:02	fak	2640
245355	3763	DHFR_1	2	0	1	assay measures DHFR inhibition	2013-08-13 00:43:21	fak	2773
7588287	866	SH2	2	1	1	paper reports binding to SRC kinase domain	2013-08-11 22:49:58	fak	2640
7593768	921	SH2	2	1	1	paper reports binding to BRK kinase domain	2013-08-11 19:26:19	fak	2640
3401032	7113	ANF_receptor	2	0	1	non-competitive ligand	2013-08-12 21:17:20	fak	3216
7596883	933	SH2	2	1	1	paper reports binding to BRK kinase domain	2013-08-11 20:55:22	fak	2640
1267037	4346	Thymidylat_synt	2	1	1	assay measures DHFR inhibition	2013-08-13 00:23:28	fak	2836
2361881	4346	Thymidylat_synt	2	1	1	assay measures DHFR inhibition	2013-08-13 00:24:08	fak	2836
5114893	680	7tm_3	2	0	1	paper describes an allosteric modulator	2013-08-12 00:51:17	fak	2629
1415890	3763	DHFR_1	2	0	1	assay measures DHFR inhibition	2013-08-13 00:21:33	fak	2773
2466476	672	7tm_3	2	0	1	paper describes allosteric modulators	2013-08-12 15:27:25	fak	2629
372981	3763	DHFR_1	2	0	1	assay measures DHFR inhibition	2013-08-13 00:35:41	fak	2773
5111846	675	7tm_3	2	0	1	non-competitive antagonists	2013-08-12 14:57:26	fak	2629
3398644	1773	Lig_chan	2	1	1	non-competitive antagonists	2013-08-12 21:19:20	fak	2676
10965902	883	SH2	2	1	1	paper presents ATP competitive inhibitors	2013-08-11 15:53:05	fak	2640
3398700	7056	ANF_receptor	2	0	1	non-competitive antagonists	2013-08-12 21:19:56	fak	3216
1476970	692	7tm_3	2	0	1	paper describes allosteric modulators	2013-08-12 14:40:09	fak	2629
1650417	901	SH2	2	1	1	compounds target kinase activity	2013-08-11 21:58:33	fak	2640
7953680	672	7tm_3	2	0	1	paper describes allosteric modulators	2013-08-12 16:06:08	fak	2629
689026	3763	DHFR_1	2	0	1	assay measures DHFR inhibition	2013-08-13 00:38:51	fak	2773
8032718	7111	ANF_receptor	2	1	1	competitive atagonists	2013-08-12 22:00:38	fak	3216
708766	4346	Thymidylat_synt	2	1	1	assay measures DHFR inhibition	2013-08-13 00:38:59	fak	2836
1856208	867	SH2	2	1	1	compounds target kinase activity	2013-08-11 21:53:29	fak	2640
2907075	937	SH2	2	1	1	paper reports binding to FES kinase domain	2013-08-11 21:03:48	fak	2640
6382370	875	SH2	2	1	1	compounds target kinase activity	2013-08-11 22:11:24	fak	2640
5111849	675	7tm_3	2	0	1	non-competitive antagonists	2013-08-12 14:57:27	fak	2629
2038499	872	SH2	2	1	1	compounds target kinase activity	2013-08-11 20:59:43	fak	2640
2019217	7097	ANF_receptor	2	1	1	paper describes allosteric modulators	2013-08-12 18:09:24	fak	3216
2097170	675	7tm_3	2	0	1	paper describes non-competitive antagonists	2013-08-12 17:50:49	fak	2629
2097170	7084	ANF_receptor	2	1	1	paper describes non-competitive antagonists	2013-08-12 17:50:49	fak	3216
2097172	675	7tm_3	2	0	1	paper describes non-competitive antagonists	2013-08-12 17:50:49	fak	2629
2097172	7084	ANF_receptor	2	1	1	paper describes non-competitive antagonists	2013-08-12 17:50:49	fak	3216
2097175	675	7tm_3	2	0	1	paper describes non-competitive antagonists	2013-08-12 17:50:50	fak	2629
2097175	7084	ANF_receptor	2	1	1	paper describes non-competitive antagonists	2013-08-12 17:50:50	fak	3216
2097177	675	7tm_3	2	0	1	paper describes non-competitive antagonists	2013-08-12 17:50:51	fak	2629
2097177	7084	ANF_receptor	2	1	1	paper describes non-competitive antagonists	2013-08-12 17:50:51	fak	3216
2097182	675	7tm_3	2	0	1	paper describes non-competitive antagonists	2013-08-12 17:50:51	fak	2629
2097182	7084	ANF_receptor	2	1	1	paper describes non-competitive antagonists	2013-08-12 17:50:51	fak	3216
2097183	675	7tm_3	2	0	1	paper describes non-competitive antagonists	2013-08-12 17:50:52	fak	2629
2097183	7084	ANF_receptor	2	1	1	paper describes non-competitive antagonists	2013-08-12 17:50:52	fak	3216
2097184	675	7tm_3	2	0	1	paper describes non-competitive antagonists	2013-08-12 17:50:53	fak	2629
2097184	7084	ANF_receptor	2	1	1	paper describes non-competitive antagonists	2013-08-12 17:50:53	fak	3216
6291502	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	2629
6291502	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	3216
6291503	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	2629
6291503	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	3216
6291504	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	2629
6291504	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	3216
6291505	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	2629
6291505	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	3216
6291506	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	2629
6291506	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	3216
6291507	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	2629
6291507	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	3216
6291508	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	2629
6291508	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	3216
6291509	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	2629
6291509	7097	ANF_receptor	2	1	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	3216
6291510	680	7tm_3	2	0	1	string match MPEP (an      allosteric modulator) on assay description	2013-08-06 14:04:55	fak	2629
